Id,Retweets,Favorites,Hashtags,Medias,Mentions,SenderId,SenderFavorites,SenderFollowings,SenderFollowers,SenderStatues,Letter,Words,AvgWordLength,IsCyberbullying
1123850000000000000.00,59,1045,1,0,0,1935601099,0,0,0,0,144,23,6,FALSE
1161960000000000000.00,3,157,1,0,0,1935601099,0,0,0,0,147,31,4,FALSE
1162600000000000000.00,1,3,0,0,11,9.27614E+17,0,0,0,0,64,12,5,FALSE
1163020000000000000.00,13,220,2,0,0,1935601099,0,0,0,0,150,23,6,FALSE
1157730000000000000.00,950,12104,0,1,0,4495931,22554,32766,60281,25482,35,5,7,FALSE
1158390000000000000.00,0,0,0,0,1,3696241,1047,457,334,1853,38,5,7,FALSE
1158380000000000000.00,3,31,0,1,0,15016209,0,39,7131754,221392,44,10,4,FALSE
1158440000000000000.00,1,13,0,0,0,16310319,3651,148,18548,68489,84,14,6,FALSE
1158680000000000000.00,0,0,0,0,1,15883237,14343,898,1985,2389,67,10,6,TRUE
1162630000000000000.00,3,39,0,0,0,16626956,10,5,2653596,16833,61,9,6,FALSE
1292782403.00,678,1761,0,0,0,23186079,67,71,8631496,72643,104,15,6,FALSE
22888045074.00,10464,19727,0,0,0,33536404,691,738,273849,7923,90,16,5,FALSE
26640149355.00,1,0,0,0,0,23186079,67,71,8631496,72643,90,21,4,FALSE
25485200000000000.00,303,386,0,0,0,23186079,67,71,8631496,72643,117,20,5,FALSE
73029100000000000.00,39,39,0,0,0,23186079,67,71,8631496,72643,67,12,5,FALSE
81419000000000000.00,1064,1692,1,0,0,23186079,67,71,8631496,72643,115,18,6,FALSE
107941000000000000.00,34,53,0,0,0,71108476,2771,2835,1288628,339867,88,21,4,FALSE
396411000000000000.00,3521,4170,0,0,0,76762055,8,73,471979,1238,98,17,5,FALSE
468735000000000000.00,10,36,0,1,0,60668913,88,606,1214852,13221,87,14,6,FALSE
505254000000000000.00,6,6,0,0,0,71108476,2771,2835,1288628,339867,113,19,5,FALSE
565256000000000000.00,487,626,0,0,0,30567448,1272,28,8885,4574,43,6,7,TRUE
570634000000000000.00,2921,5610,0,0,0,71108476,2771,2835,1288628,339867,57,9,6,FALSE
602545000000000000.00,4814,7415,0,0,0,23186079,67,71,8631496,72643,102,17,6,FALSE
603166000000000000.00,5321,8329,1,1,0,23186079,67,71,8631496,72643,72,8,9,FALSE
669782000000000000.00,1,3,1,0,0,95956201,1476,9098,13448,18417,67,11,6,FALSE
752220000000000000.00,41,234,0,1,0,71108476,2771,2835,1288628,339867,87,13,6,FALSE
764562000000000000.00,20530,27954,0,0,0,23186079,67,71,8631496,72643,61,11,5,FALSE
825705000000000000.00,13,62,0,0,0,60334462,209,443,105673,39435,86,16,5,FALSE
905532000000000000.00,29086,94126,0,0,0,69167515,5487,206,193029,8095,120,18,6,FALSE
921749000000000000.00,5,26,0,0,0,68723264,6747,291,2181,15413,81,11,7,FALSE
921750000000000000.00,10,55,0,0,0,68723264,6747,291,2181,15413,82,10,8,FALSE
925081000000000000.00,13,88,0,0,0,71108476,2771,2835,1288628,339867,114,16,7,FALSE
943942000000000000.00,3669,8739,0,0,0,60334462,209,443,105673,39435,109,18,6,FALSE
943945000000000000.00,28735,81212,1,1,1,23186079,67,71,8631496,72643,38,4,9,FALSE
1022090000000000000.00,278,285,1,1,0,44982012,81,4,85926,14786,42,5,8,FALSE
1038130000000000000.00,860,5712,0,0,1,23186079,67,71,8631496,72643,144,29,4,FALSE
1039760000000000000.00,1154,9093,0,0,0,69365359,12669,333,1704,6678,114,14,8,FALSE
1052850000000000000.00,1269,7117,0,0,0,95439391,310,255,1579821,7639,22,4,5,FALSE
1062600000000000000.00,270,631,0,0,0,35201774,201,97,218364,19564,68,11,6,FALSE
1088020000000000000.00,22,158,0,0,0,71108476,2771,2835,1288628,339867,178,30,5,FALSE
1095970000000000000.00,9,43,1,1,0,60611223,14622,1155,2132,10040,55,11,5,FALSE
1102820000000000000.00,452,2158,0,0,0,36222372,1660,448,26518,417,214,33,6,FALSE
1110890000000000000.00,4,183,0,0,0,62198384,6988,261,176229,10601,33,7,4,FALSE
1117820000000000000.00,8220,30819,0,0,0,23186079,67,71,8631496,72643,85,13,6,FALSE
1119270000000000000.00,53,324,0,0,0,92548679,6431,1171,286653,5496,103,17,6,FALSE
1121460000000000000.00,30,1902,1,0,0,23186079,67,71,8631496,72643,101,20,5,FALSE
1123080000000000000.00,1344,9916,0,0,0,76762055,8,73,471979,1238,145,26,5,FALSE
1129070000000000000.00,4,3,0,1,0,47070156,18,16,110679,250915,43,7,6,FALSE
1134480000000000000.00,33,982,2,1,2,77419430,244,130,951670,54876,131,25,5,FALSE
1135250000000000000.00,243,2253,0,1,0,48971197,22722,204,33049,8666,39,7,5,FALSE
1137840000000000000.00,19255,163984,0,0,0,64820716,2218,51,1010894,3934,64,8,8,FALSE
1140660000000000000.00,24517,84372,0,1,0,68034431,0,95,13974880,6091,204,32,6,FALSE
1145740000000000000.00,5512,19903,0,1,0,94543804,4265,875,283308,17398,211,34,6,FALSE
1146410000000000000.00,3,34,0,1,0,31094717,0,2,107794,224253,50,9,5,FALSE
1147080000000000000.00,97,682,0,0,0,22924311,385,75,3319323,1953,29,6,4,FALSE
1149230000000000000.00,2,9,0,0,0,49692305,2081,2467,6416,11290,65,13,5,FALSE
1150850000000000000.00,3215,15537,0,0,0,68034431,0,95,13974880,6091,32,6,5,FALSE
1151180000000000000.00,3160,21667,0,1,0,92748776,14305,502,10877,13649,155,26,5,FALSE
1151780000000000000.00,383,1510,0,1,1,19942168,17,11,182661,10816,134,16,8,FALSE
1152520000000000000.00,7173,33702,1,1,0,68034431,0,95,13974880,6091,194,30,6,FALSE
1152530000000000000.00,204,1942,0,1,0,71108476,2771,2835,1288628,339867,21,4,5,FALSE
1152570000000000000.00,1106,3307,0,1,0,94543804,4265,875,283308,17398,159,26,6,FALSE
1153980000000000000.00,4,9,0,1,0,56764903,4424,348,60988,40108,86,13,6,FALSE
1154740000000000000.00,6705,30373,0,1,0,68034431,0,95,13974880,6091,27,5,5,FALSE
1154860000000000000.00,8,39,0,2,0,69897962,2759,577,2049,1095,213,34,6,FALSE
1155180000000000000.00,554,2697,1,1,0,74397391,520,61,1614911,89970,61,16,3,FALSE
1155230000000000000.00,566,4573,0,0,0,69167515,5487,206,193029,8095,234,37,6,FALSE
1155840000000000000.00,13,126,1,4,0,77189080,4,4,144123,5625,181,24,7,FALSE
1156220000000000000.00,29,658,0,1,0,45819962,1,1,421161,3280,146,25,5,FALSE
1157080000000000000.00,5,23,1,1,1,56764903,4424,348,60988,40108,189,38,4,FALSE
1157160000000000000.00,98,194,0,1,0,73080402,298763,13570,16514,195473,35,7,5,FALSE
1157280000000000000.00,117,208,0,1,0,73080402,298763,13570,16514,195473,61,12,5,FALSE
1157370000000000000.00,504,3564,0,0,0,63829194,3264,38,106471,12328,219,34,6,FALSE
1157600000000000000.00,194,292,0,1,0,44982012,81,4,85926,14786,122,18,6,FALSE
1157680000000000000.00,2,15,0,1,1,97453133,16941,487,725,8524,31,5,6,FALSE
1157860000000000000.00,85,358,0,1,0,98149527,47052,0,198190,51641,126,18,7,FALSE
1157940000000000000.00,151,1428,0,1,0,80549263,3,6,1217827,315758,32,5,6,FALSE
1157980000000000000.00,309,418,0,1,0,44982012,81,4,85926,14786,168,28,6,FALSE
1158000000000000000.00,4381,17463,1,0,0,68034431,0,95,13974880,6091,76,11,6,FALSE
1158000000000000000.00,6,61,0,0,0,93183233,4286,351,8552,3593,232,34,6,FALSE
1158050000000000000.00,5095,26605,0,0,0,68034431,0,95,13974880,6091,182,27,6,FALSE
1158060000000000000.00,6,36,3,0,0,69897962,2759,577,2049,1095,183,30,6,FALSE
1158080000000000000.00,55,1069,0,0,0,36413418,3509,173,44366,13390,81,12,6,FALSE
1158090000000000000.00,339,2388,0,0,0,85420539,28400,995,155615,52735,202,32,6,TRUE
1158100000000000000.00,4220,16512,0,1,0,68034431,0,95,13974880,6091,123,21,5,FALSE
1158120000000000000.00,84,571,0,0,0,67155761,16300,521,16689,3050,75,11,6,FALSE
1158140000000000000.00,190,622,0,0,0,93499827,30125,2690,12804,78868,53,8,6,FALSE
1158240000000000000.00,0,35,2,1,0,74397391,520,61,1614911,89970,84,17,4,FALSE
1158250000000000000.00,92,238,0,1,0,73080402,298763,13570,16514,195473,26,5,5,FALSE
